,indicator,name,source,source_notes,subject_notes,language,units,scale
33,1.2.PGap.1.90usd,Brecha de Pobreza ($1.90 al día)-Urbano,world_bank,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
34,1.2.PGap.2.5usd,Brecha de Pobreza ($2.50 al día)-Urbano,world_bank,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
35,1.2.PGap.Poor4uds,Brecha de Pobreza ($4 al día)-Urbano,world_bank,La Brecha de Pobreza captura el déficit del ingreso o consumo promedio agregado relativo a la línea de pobreza a través de toda la población.  Mide el total de recursos necesarios para traer a todos os pobres al nivel de la línea de pobreza (promediado sobre la población total). ,Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
36,1.2.PSev.1.90usd,Severidad de la Pobreza ($1.90 al día)-Urbano,world_bank,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
37,1.2.PSev.2.5usd,Severidad de la Pobreza ($2.50 al día)-Urbano,world_bank,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
38,1.2.PSev.Poor4uds,Severidad de la Pobreza ($4 al día)-Urbano,world_bank,"El índice de severidad de la pobreza combina información tanto de pobreza como de desigualdad entre los pobres, al promediar los cuadrados de las brechas de pobreza relativas a la línea de pobreza",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
39,1.2_ACCESS.ELECTRICITY.RURAL,,world_bank,,,1,,
40,1.3_ACCESS.ELECTRICITY.URBAN,,world_bank,,,1,,
41,100000,,world_bank,,,1,,
42,1000000,,world_bank,,,1,,
43,110000,,world_bank,,,1,,
44,110100,,world_bank,,,1,,
45,1101000,,world_bank,,,1,,
46,110110,,world_bank,,,1,,
47,1101100,,world_bank,,,1,,
48,110111,,world_bank,,,1,,
49,1101110,,world_bank,,,1,,
50,110112,,world_bank,,,1,,
51,1101120,,world_bank,,,1,,
52,110113,,world_bank,,,1,,
53,1101130,,world_bank,,,1,,
54,110114,,world_bank,,,1,,
55,1101140,,world_bank,,,1,,
56,110115,,world_bank,,,1,,
57,1101150,,world_bank,,,1,,
58,110116,,world_bank,,,1,,
59,1101160,,world_bank,,,1,,
60,110117,,world_bank,,,1,,
61,1101170,,world_bank,,,1,,
62,110118,,world_bank,,,1,,
63,1101180,,world_bank,,,1,,
64,110119,,world_bank,,,1,,
65,1101190,,world_bank,,,1,,
66,110120,,world_bank,,,1,,
67,1101200,,world_bank,,,1,,
68,110200,,world_bank,,,1,,
69,1102000,,world_bank,,,1,,
70,110210,,world_bank,,,1,,
71,1102100,,world_bank,,,1,,
72,110220,,world_bank,,,1,,
73,1102200,,world_bank,,,1,,
74,110300,,world_bank,,,1,,
75,1103000,,world_bank,,,1,,
76,110400,,world_bank,,,1,,
77,110500,,world_bank,,,1,,
78,1105000,,world_bank,,,1,,
79,110600,,world_bank,,,1,,
80,110700,,world_bank,,,1,,
81,1107000,,world_bank,,,1,,
82,110710,,world_bank,,,1,,
83,1107100,,world_bank,,,1,,
84,110730,,world_bank,,,1,,
85,1107300,,world_bank,,,1,,
86,110800,,world_bank,,,1,,
87,1108000,,world_bank,,,1,,
88,111100,,world_bank,,,1,,
89,1111000,,world_bank,,,1,,
90,111300,,world_bank,,,1,,
91,1113000,,world_bank,,,1,,
92,130000,,world_bank,,,1,,
93,1300000,,world_bank,,,1,,
94,140000,,world_bank,,,1,,
95,1400000,,world_bank,,,1,,
96,150000,,world_bank,,,1,,
97,1500000,,world_bank,,,1,,
98,150100,,world_bank,,,1,,
99,1501000,,world_bank,,,1,,
100,1501100,,world_bank,,,1,,
101,1501200,,world_bank,,,1,,
102,1501300,,world_bank,,,1,,
103,150200,,world_bank,,,1,,
104,1502000,,world_bank,,,1,,
105,150300,,world_bank,,,1,,
106,1503000,,world_bank,,,1,,
107,1600000,,world_bank,,,1,,
108,160100,,world_bank,,,1,,
109,160200,,world_bank,,,1,,
110,170000,,world_bank,,,1,,
111,2.0.cov.Cel,Tasa de Cobertura: Teléfono móvil,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
112,2.0.cov.Ele,Tasa de Cobertura: Electricidad,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
113,2.0.cov.FPS,Tasa de Cobertura: Finalización de la Educación Primaria,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
114,2.0.cov.Int,Tasa de Cobertura: Internet ,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
115,2.0.cov.Math.pl_2.all,Tasa de Cobertura: Competencia en Matemáticas Nivel 2,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
116,2.0.cov.Math.pl_2.prv,"Tasa de Cobertura: Competencia en Matemáticas Nivel 2, Escuelas Privadas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
117,2.0.cov.Math.pl_2.pub,"Tasa de Cobertura: Competencia en Matemáticas Nivel 2, Escuelas Públicas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
118,2.0.cov.Math.pl_3.all,Tasa de Cobertura: Competencia en Matemáticas Nivel 3,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
119,2.0.cov.Math.pl_3.prv,"Tasa de Cobertura: Competencia en Matemáticas Nivel 3, Escuelas Privadas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
120,2.0.cov.Math.pl_3.pub,"Tasa de Cobertura: Competencia en Matemáticas Nivel 3, Escuelas Públicas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
121,2.0.cov.Read.pl_2.all,Tasa de Cobertura: Competencia en Lectura Nivel 2,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
122,2.0.cov.Read.pl_2.prv,"Tasa de Cobertura: Competencia en Lectura Nivel 2, Escuelas Privadas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
123,2.0.cov.Read.pl_2.pub,"Tasa de Cobertura: Competencia en Lectura Nivel 2, Escuelas Públicas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
124,2.0.cov.Read.pl_3.all,Tasa de Cobertura: Competencia en Lectura Nivel 3,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
125,2.0.cov.Read.pl_3.prv,"Tasa de Cobertura: Competencia en Lectura Nivel 3, Escuelas Privadas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
126,2.0.cov.Read.pl_3.pub,"Tasa de Cobertura: Competencia en Lectura Nivel 3, Escuelas Públicas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
127,2.0.cov.San,Tasa de Cobertura: Saneamiento,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
128,2.0.cov.Sch,Tasa de Cobertura: Matrícula Escolar,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
129,2.0.cov.Scie.pl_2.all,Tasa de Cobertura: Competencia en Ciencias Nivel 2,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
130,2.0.cov.Scie.pl_2.prv,"Tasa de Cobertura: Competencia en Ciencias Nivel 2, Escuelas Privadas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
131,2.0.cov.Scie.pl_2.pub,"Tasa de Cobertura: Competencia en Ciencias Nivel 2, Escuelas Públicas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
132,2.0.cov.Scie.pl_3.all,Tasa de Cobertura: Competencia en Ciencias Nivel 3,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
133,2.0.cov.Scie.pl_3.prv,"Tasa de Cobertura: Competencia en Ciencias Nivel 3, Escuelas Privadas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
134,2.0.cov.Scie.pl_3.pub,"Tasa de Cobertura: Competencia en Ciencias Nivel 3, Escuelas Públicas",world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab usando datos de PISA,1,,
135,2.0.cov.Wat,Tasa de Cobertura: Agua,world_bank,"La tasa de cobertura se define como la proporcion de niños que tienen acceso a una oportunidad en particular, la cual se usa para calcular el Índice de Oportunidades Humanas (IOH).  La tasa de cobertura no toma en cuenta la desigualdad en el acceso entre diferentes grupos de circunstancias.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
136,2.0.hoi.Cel,IOH: Teléfono móvil,world_bank,"El Índice de Oportunidades Humanas (IOH) es un indicador económico que captura el grado de desigualdad en el acceso a un servicio esencial, entre diferentes grupos de circunstancias.  El índice toma en cuenta la tasa de acceso promedio (tasa de cobertura) de una oportunidad dada (un servicio) y la desigualdad de su distribución.  Las circunstancias incluidas en el IOH son el género del niño o niña, la educación de los padres, el ingreso per cápita familiar, el género del jefe del hogar, y el área de residencia urbana o rural.  Un incremento en el índice puede deberse tanto a incrementos en la cobertura como a una mejor distribución de dicho servicio.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
137,2.0.hoi.Ele,IOH: Electricidad,world_bank,"El Índice de Oportunidades Humanas (IOH) es un indicador económico que captura el grado de desigualdad en el acceso a un servicio esencial, entre diferentes grupos de circunstancias.  El índice toma en cuenta la tasa de acceso promedio (tasa de cobertura) de una oportunidad dada (un servicio) y la desigualdad de su distribución.  Las circunstancias incluidas en el IOH son el género del niño o niña, la educación de los padres, el ingreso per cápita familiar, el género del jefe del hogar, y el área de residencia urbana o rural.  Un incremento en el índice puede deberse tanto a incrementos en la cobertura como a una mejor distribución de dicho servicio.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
138,2.0.hoi.FPS,IOH: Finalización de la Educación Primaria,world_bank,"El Índice de Oportunidades Humanas (IOH) es un indicador económico que captura el grado de desigualdad en el acceso a un servicio esencial, entre diferentes grupos de circunstancias.  El índice toma en cuenta la tasa de acceso promedio (tasa de cobertura) de una oportunidad dada (un servicio) y la desigualdad de su distribución.  Las circunstancias incluidas en el IOH son el género del niño o niña, la educación de los padres, el ingreso per cápita familiar, el género del jefe del hogar, y el área de residencia urbana o rural.  Un incremento en el índice puede deberse tanto a incrementos en la cobertura como a una mejor distribución de dicho servicio.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
139,2.0.hoi.Int,IOH: Internet ,world_bank,"El Índice de Oportunidades Humanas (IOH) es un indicador económico que captura el grado de desigualdad en el acceso a un servicio esencial, entre diferentes grupos de circunstancias.  El índice toma en cuenta la tasa de acceso promedio (tasa de cobertura) de una oportunidad dada (un servicio) y la desigualdad de su distribución.  Las circunstancias incluidas en el IOH son el género del niño o niña, la educación de los padres, el ingreso per cápita familiar, el género del jefe del hogar, y el área de residencia urbana o rural.  Un incremento en el índice puede deberse tanto a incrementos en la cobertura como a una mejor distribución de dicho servicio.",Tabulaciones del LAC Equity Lab con datos de SEDLAC (CEDLAS y el Banco Mundial),1,,
